ID,Participation_Experiment,Recruitment_organisation,Municipality,Region,Survey1_answered,Survey2_answered,Survey3_answered,Participation_Phase,Control_Price_Phase1,Control_Price_Phase2,Group_Phase1,Group_Phase2,Participation_status_Phase1,Participation_status_Phase2
Exp_1,Yes,Transmission system operator,Bergen,Bergen,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_2,Yes,Transmission system operator,Stavanger,Stavanger,Yes,No,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_3,Yes,Transmission system operator,Oslo,Oslo,Yes,Yes,No,Both,Price group,Price group,H1,H1,OK,OK
Exp_4,Yes,Transmission system operator,Bergen,Bergen,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_5,Yes,Transmission system operator,Bergen,Bergen,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_6,Yes,Transmission system operator,Bergen,Bergen,Yes,Yes,No,Both,Price group,Price group,H1,H1,No_information,No_information
Exp_7,Yes,Transmission system operator,Stavanger,Stavanger,Yes,No,No,Both,Price group,Price group,H1,H1,OK,No_information
Exp_8,Yes,Transmission system operator,Oslo,Oslo,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_9,Yes,Transmission system operator,Oslo,Oslo,Yes,Yes,No,Both,Price group,Price group,H1,H1,OK,OK
Exp_10,Yes,Transmission system operator,Oslo,Oslo,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_11,Yes,Transmission system operator,Stavanger,Stavanger,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_12,Yes,Transmission system operator,Oslo,Oslo,Yes,No,"NA",Phase_1,Price group,"NA",H1,"NA",OK,"NA"
Exp_13,Yes,Transmission system operator,Stavanger,Stavanger,Yes,No,No,Both,Price group,Price group,H1,H1,OK,OK
Exp_14,Yes,Transmission system operator,Bergen,Bergen,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_15,Yes,Transmission system operator,Bergen,Bergen,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_16,Yes,Transmission system operator,Bergen,Bergen,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_17,Yes,Transmission system operator,Bærum,Oslo,Yes,Yes,"NA",Phase_1,Price group,"NA",H1,"NA",OK,"NA"
Exp_18,Yes,Transmission system operator,Oslo,Oslo,Yes,Yes,No,Both,Price group,Price group,H1,H1,OK,No_information
Exp_19,Yes,Transmission system operator,Bærum,Oslo,Yes,Yes,Yes,Both,Price group,Price group,H1,H1,OK,OK
Exp_20,Yes,Transmission system operator,Stavanger,Stavanger,Yes,Yes,No,Both,Price group,Price group,H1,H1,OK,No_information
