datetime_UTC,is_event,price_NOK_per_kWh,demand_kWh,wholesale_EUR_per_MWh,wholesale_NOK_per_kWh,entso_load_MW
2021-02-01T00:00:00Z,0,0.0,0.0,42.55,0.4383,6405.11
2021-02-01T01:00:00Z,0,0.0,0.0,40.98,0.4221,6275.10
2021-02-01T02:00:00Z,0,0.0,0.0,40.94,0.4217,6231.12
2021-02-01T03:00:00Z,0,0.0,0.0,40.02,0.4122,6221.85
2021-02-01T04:00:00Z,0,0.0,0.0,40.76,0.4198,6286.40
2021-02-01T05:00:00Z,0,0.0,0.0,45.91,0.4729,6538.90
2021-02-01T06:00:00Z,1,21.7385,729.650,59.42,0.612,7008.94
2021-02-01T07:00:00Z,1,22.6709,1107.378,149.95,1.5445,7533.92
2021-02-01T08:00:00Z,1,23.1858,1373.871,199.94,2.0594,7820.88
2021-02-01T09:00:00Z,1,22.8341,1354.819,165.79,1.7076,7801.96
2021-02-01T10:00:00Z,1,22.4195,1279.119,125.54,1.2931,7724.56
2021-02-01T11:00:00Z,1,21.8184,1252.314,67.18,0.692,7696.25
2021-02-01T12:00:00Z,1,21.8067,1196.988,66.04,0.6802,7636.21
2021-02-01T13:00:00Z,1,21.8099,1080.921,66.35,0.6834,7502.42
2021-02-01T14:00:00Z,1,21.9345,1011.743,78.45,0.808,7416.95
2021-02-01T15:00:00Z,1,22.0131,989.425,86.08,0.8866,7388.35
2021-02-01T16:00:00Z,1,22.5687,1021.281,140.02,1.4422,7429.01
2021-02-01T17:00:00Z,1,23.1858,1038.112,199.94,2.0594,7450.08
2021-02-01T18:00:00Z,1,22.3525,997.319,119.03,1.226,7398.52
2021-02-01T19:00:00Z,1,21.8523,1001.745,70.47,0.7258,7404.2
2021-02-01T20:00:00Z,1,21.768,985.383,62.29,0.6416,7383.11
2021-02-01T21:00:00Z,0,0.0,0.0,56.36,0.5805,7241.98
2021-02-01T22:00:00Z,0,0.0,0.0,55.25,0.5691,6981.02
2021-02-01T23:00:00Z,0,0.0,0.0,49.4,0.5088,6694.5
2021-02-02T00:00:00Z,0,0.0,0.0,46.13,0.4751,6452.09
2021-02-02T01:00:00Z,0,0.0,0.0,45.05,0.464,6336.61
2021-02-02T02:00:00Z,0,0.0,0.0,43.59,0.449,6270.4
2021-02-02T03:00:00Z,0,0.0,0.0,42.44,0.4371,6237.07
2021-02-02T04:00:00Z,0,0.0,0.0,43.98,0.453,6295.52
2021-02-02T05:00:00Z,0,0.0,0.0,46.09,0.4747,6531.44
2021-02-02T06:00:00Z,1,21.7698,668.227,62.46,0.6433,6903.15
2021-02-02T07:00:00Z,1,22.3264,1002.903,116.5,1.2,7405.68
2021-02-02T08:00:00Z,1,22.6946,1185.836,152.25,1.5682,7623.83
2021-02-02T09:00:00Z,1,22.3566,1165.722,119.43,1.2301,7601.26
2021-02-02T10:00:00Z,1,22.1573,1101.161,100.08,1.0308,7526.57
2021-02-02T11:00:00Z,1,21.8142,1150.419,66.77,0.6877,7583.87
2021-02-02T12:00:00Z,1,21.7856,1100.929,63.99,0.6591,7526.3
2021-02-02T13:00:00Z,1,21.771,1138.638,62.58,0.6446,7570.35
