ID,rho_event,beta_event,rho_event_raw,beta_event_raw,rho_event_nc,beta_event_nc,n_pairs,flag_imputed,flag_clipped
Exp_1737,0.570001,0.429999,0.570001,0.429999,0.525324,0.474676,144,0,0
Exp_1746,0.446630,0.553370,0.446630,0.553370,0.345485,0.654515,259,0,0
Exp_1757,0.969411,0.030589,0.969411,0.030589,1.000000,0.000000,34,0,0
Exp_1765,0.646267,0.353733,0.646267,0.353733,0.214391,0.785609,32,0,0
Exp_1766,0.320286,0.679714,0.320286,0.679714,0.249512,0.750488,299,0,0
Exp_1779,0.568344,0.431656,1.067063,-0.067063,0.388762,0.611238,21,1,0
Exp_1785,0.563742,0.436258,0.563742,0.436258,0.584699,0.415301,296,0,0
Exp_1789,0.469236,0.530764,0.469236,0.530764,0.354448,0.645552,139,0,0
Exp_1805,0.363060,0.636940,0.363060,0.636940,0.357613,0.642387,154,0,0
Exp_1828,0.739547,0.260453,0.739547,0.260453,0.444282,0.555718,156,0,0
Exp_1836,0.759008,0.240992,0.759008,0.240992,1.000000,0.000000,34,0,0
Exp_1844,0.253415,0.746585,0.253415,0.746585,0.244874,0.755126,299,0,0
Exp_1845,0.583201,0.416799,0.583201,0.416799,0.475630,0.524370,181,0,0
Exp_1848,0.659274,0.340726,0.659274,0.340726,0.388594,0.611406,155,0,0
Exp_1859,0.364867,0.635133,0.364867,0.635133,0.242003,0.757997,151,0,0
Exp_1860,0.039169,0.960831,0.039169,0.960831,0.096460,0.903540,181,0,0
Exp_1870,0.636168,0.363832,0.636168,0.363832,0.001000,0.999000,137,0,0
Exp_1879,0.697182,0.302818,0.697182,0.302818,0.823802,0.176198,34,0,0
Exp_1884,0.394613,0.605387,0.394613,0.605387,0.197015,0.802985,156,0,0
Exp_1891,0.563684,0.436316,0.563684,0.436316,0.515456,0.484544,237,0,0
Exp_1905,0.795138,0.204862,0.795138,0.204862,0.957326,0.042674,32,0,0
Exp_1918,0.693980,0.306020,0.693980,0.306020,1.000000,0.000000,30,0,0
Exp_1939,0.417784,0.582216,0.417784,0.582216,0.353649,0.646351,152,0,0
Exp_1943,0.234285,0.765715,0.234285,0.765715,0.168557,0.831443,181,0,0
Exp_1951,0.426225,0.573775,0.426225,0.573775,0.327928,0.672072,156,0,0
Exp_1959,0.975461,0.024539,0.975461,0.024539,1.000000,0.000000,34,0,0
Exp_1973,0.444658,0.555342,0.444658,0.555342,0.275304,0.724696,285,0,0
Exp_1983,0.305798,0.694202,0.305798,0.694202,0.177410,0.822590,172,0,0
Exp_1999,0.607369,0.392631,0.607369,0.392631,1.000000,0.000000,34,0,0
Exp_2013,0.552007,0.447993,0.552007,0.447993,0.538015,0.461985,259,0,0
Exp_2018,0.901854,0.098146,0.901854,0.098146,0.001000,0.999000,155,0,0
Exp_2019,0.302386,0.697614,0.302386,0.697614,0.152586,0.847414,299,0,0
Exp_2040,0.518082,0.481918,0.518082,0.481918,0.636976,0.363024,250,0,0
Exp_2046,0.683623,0.316377,0.683623,0.316377,0.586572,0.413428,299,0,0
Exp_2051,0.763866,0.236134,0.763866,0.236134,0.001000,0.999000,149,0,0
Exp_2061,0.505452,0.494548,0.505452,0.494548,0.369234,0.630766,297,0,0
Exp_2070,0.773566,0.226434,0.773566,0.226434,0.882131,0.117869,259,0,0
Exp_2080,0.637745,0.362255,0.637745,0.362255,0.650758,0.349242,259,0,0
Exp_2086,0.793055,0.206945,0.793055,0.206945,1.000000,0.000000,30,0,0
